B01001_001E,B11001_001E,B19013_001E,B25077_001E,B25035_001E,B25041_001E,B25017_001E,NAME,GEO_ID,state,county,tract,block group
1695,568,33056,85600,1974,623,623,"Block Group 2, Census Tract 204, Alamance County, North Carolina",1500000US370010204002,37,001,020400,2
2866,998,45612,132800,1980,1026,1026,"Block Group 1, Census Tract 204, Alamance County, North Carolina",1500000US370010204001,37,001,020400,1
3062,506,56538,280800,1992,506,506,"Block Group 4, Census Tract 216, Alamance County, North Carolina",1500000US370010216004,37,001,021600,4
895,446,78125,237900,1991,446,446,"Block Group 1, Census Tract 212.04, Alamance County, North Carolina",1500000US370010212041,37,001,021204,1
2685,935,53906,153600,1992,992,992,"Block Group 2, Census Tract 212.04, Alamance County, North Carolina",1500000US370010212042,37,001,021204,2
2764,965,36746,89200,1979,982,982,"Block Group 5, Census Tract 203, Alamance County, North Carolina",1500000US370010203005,37,001,020300,5
1078,421,-666666666,9999,1981,434,434,"Block Group 1, Census Tract 203, Alamance County, North Carolina",1500000US370010203001,37,001,020300,1
1068,347,32786,-666666666,1962,435,435,"Block Group 2, Census Tract 203, Alamance County, North Carolina",1500000US370010203002,37,001,020300,2
1882,781,37569,102400,1978,854,854,"Block Group 2, Census Tract 212.01, Alamance County, North Carolina",1500000US370010212012,37,001,021201,2
1224,458,29833,115200,1966,531,531,"Block Group 3, Census Tract 212.01, Alamance County, North Carolina",1500000US370010212013,37,001,021201,3
1136,445,47679,167800,1983,504,504,"Block Group 2, Census Tract 218.03, Alamance County, North Carolina",1500000US370010218032,37,001,021803,2
1522,596,61500,151800,1985,652,652,"Block Group 1, Census Tract 219.01, Alamance County, North Carolina",1500000US370010219011,37,001,021901,1
2005,706,76048,203600,1994,794,794,"Block Group 2, Census Tract 219.01, Alamance County, North Carolina",1500000US370010219012,37,001,021901,2
1034,478,59667,158100,1984,588,588,"Block Group 3, Census Tract 219.01, Alamance County, North Carolina",1500000US370010219013,37,001,021901,3
1665,673,51194,122100,1997,716,716,"Block Group 1, Census Tract 219.02, Alamance County, North Carolina",1500000US370010219021,37,001,021902,1
649,291,49450,147200,1987,323,323,"Block Group 2, Census Tract 219.02, Alamance County, North Carolina",1500000US370010219022,37,001,021902,2
2152,841,61932,135900,1998,892,892,"Block Group 3, Census Tract 219.02, Alamance County, North Carolina",1500000US370010219023,37,001,021902,3
1060,492,41008,132100,1990,560,560,"Block Group 2, Census Tract 220.02, Alamance County, North Carolina",1500000US370010220022,37,001,022002,2
1808,706,64286,214900,1978,750,750,"Block Group 1, Census Tract 220.01, Alamance County, North Carolina",1500000US370010220011,37,001,022001,1
2236,889,61042,155000,1997,889,889,"Block Group 2, Census Tract 220.01, Alamance County, North Carolina",1500000US370010220012,37,001,022001,2
1781,723,48281,163500,1994,758,758,"Block Group 1, Census Tract 220.02, Alamance County, North Carolina",1500000US370010220021,37,001,022002,1
1375,540,54375,137000,1995,585,585,"Block Group 3, Census Tract 220.02, Alamance County, North Carolina",1500000US370010220023,37,001,022002,3
630,444,45833,156900,1989,444,444,"Block Group 3, Census Tract 217.01, Alamance County, North Carolina",1500000US370010217013,37,001,021701,3
1652,311,-666666666,-666666666,1993,311,311,"Block Group 1, Census Tract 217.02, Alamance County, North Carolina",1500000US370010217021,37,001,021702,1
2694,976,95000,343800,1995,986,986,"Block Group 2, Census Tract 217.02, Alamance County, North Carolina",1500000US370010217022,37,001,021702,2
3029,1352,71646,266600,2005,1366,1366,"Block Group 1, Census Tract 217.03, Alamance County, North Carolina",1500000US370010217031,37,001,021703,1
3220,1399,48598,197500,1999,1432,1432,"Block Group 2, Census Tract 217.03, Alamance County, North Carolina",1500000US370010217032,37,001,021703,2
1421,541,54659,217900,1973,593,593,"Block Group 2, Census Tract 218.01, Alamance County, North Carolina",1500000US370010218012,37,001,021801,2
859,388,39000,136800,1979,466,466,"Block Group 3, Census Tract 218.01, Alamance County, North Carolina",1500000US370010218013,37,001,021801,3
1707,691,54886,150200,1984,754,754,"Block Group 2, Census Tract 218.02, Alamance County, North Carolina",1500000US370010218022,37,001,021802,2
1817,705,37656,148700,1985,735,735,"Block Group 1, Census Tract 218.03, Alamance County, North Carolina",1500000US370010218031,37,001,021803,1
1388,663,29492,149400,1951,688,688,"Block Group 1, Census Tract 201, Alamance County, North Carolina",1500000US370010201001,37,001,020100,1
952,506,45000,167200,1945,630,630,"Block Group 2, Census Tract 201, Alamance County, North Carolina",1500000US370010201002,37,001,020100,2
1007,380,18182,-666666666,1959,380,380,"Block Group 3, Census Tract 201, Alamance County, North Carolina",1500000US370010201003,37,001,020100,3
492,283,29875,104300,0,335,335,"Block Group 4, Census Tract 201, Alamance County, North Carolina",1500000US370010201004,37,001,020100,4
2231,889,45446,153300,1991,1071,1071,"Block Group 1, Census Tract 205.01, Alamance County, North Carolina",1500000US370010205011,37,001,020501,1
1325,547,57708,157400,1980,588,588,"Block Group 2, Census Tract 205.01, Alamance County, North Carolina",1500000US370010205012,37,001,020501,2
2771,1035,32276,122300,1988,1133,1133,"Block Group 1, Census Tract 205.02, Alamance County, North Carolina",1500000US370010205021,37,001,020502,1
651,232,36641,60400,1954,258,258,"Block Group 2, Census Tract 205.02, Alamance County, North Carolina",1500000US370010205022,37,001,020502,2
800,247,27139,74700,1964,247,247,"Block Group 3, Census Tract 205.02, Alamance County, North Carolina",1500000US370010205023,37,001,020502,3
891,391,71107,201200,1969,391,391,"Block Group 1, Census Tract 206.01, Alamance County, North Carolina",1500000US370010206011,37,001,020601,1
956,423,89680,260400,1965,450,450,"Block Group 2, Census Tract 206.01, Alamance County, North Carolina",1500000US370010206012,37,001,020601,2
1313,566,89444,215700,1967,620,620,"Block Group 3, Census Tract 206.01, Alamance County, North Carolina",1500000US370010206013,37,001,020601,3
745,294,54653,85500,1954,294,294,"Block Group 1, Census Tract 206.02, Alamance County, North Carolina",1500000US370010206021,37,001,020602,1
1788,915,62132,167000,1965,1003,1003,"Block Group 2, Census Tract 206.02, Alamance County, North Carolina",1500000US370010206022,37,001,020602,2
912,485,55891,104000,1997,551,551,"Block Group 1, Census Tract 207.01, Alamance County, North Carolina",1500000US370010207011,37,001,020701,1
1163,606,35588,148200,1978,674,674,"Block Group 2, Census Tract 207.01, Alamance County, North Carolina",1500000US370010207012,37,001,020701,2
1561,584,-666666666,165900,2000,624,624,"Block Group 4, Census Tract 207.01, Alamance County, North Carolina",1500000US370010207014,37,001,020701,4
1251,602,44247,138600,1962,646,646,"Block Group 1, Census Tract 207.02, Alamance County, North Carolina",1500000US370010207021,37,001,020702,1
1099,600,38654,113000,1976,600,600,"Block Group 2, Census Tract 207.02, Alamance County, North Carolina",1500000US370010207022,37,001,020702,2
1238,429,25565,123600,1999,535,535,"Block Group 4, Census Tract 207.02, Alamance County, North Carolina",1500000US370010207024,37,001,020702,4
828,293,45813,113000,1966,336,336,"Block Group 1, Census Tract 208.01, Alamance County, North Carolina",1500000US370010208011,37,001,020801,1
574,313,21172,-666666666,1957,313,313,"Block Group 1, Census Tract 208.02, Alamance County, North Carolina",1500000US370010208021,37,001,020802,1
1622,631,29433,78000,1955,696,696,"Block Group 2, Census Tract 208.02, Alamance County, North Carolina",1500000US370010208022,37,001,020802,2
593,254,-666666666,-666666666,1961,301,301,"Block Group 4, Census Tract 208.02, Alamance County, North Carolina",1500000US370010208024,37,001,020802,4
653,361,24273,54800,1962,431,431,"Block Group 5, Census Tract 208.02, Alamance County, North Carolina",1500000US370010208025,37,001,020802,5
1036,545,36681,101100,1956,551,551,"Block Group 1, Census Tract 209.01, Alamance County, North Carolina",1500000US370010209011,37,001,020901,1
1003,415,44821,119700,1977,460,460,"Block Group 2, Census Tract 209.01, Alamance County, North Carolina",1500000US370010209012,37,001,020901,2
1990,813,56553,159200,1998,813,813,"Block Group 1, Census Tract 209.02, Alamance County, North Carolina",1500000US370010209021,37,001,020902,1
1554,636,55972,166000,1986,675,675,"Block Group 2, Census Tract 209.02, Alamance County, North Carolina",1500000US370010209022,37,001,020902,2
1717,722,45671,130200,1982,776,776,"Block Group 2, Census Tract 211.01, Alamance County, North Carolina",1500000US370010211012,37,001,021101,2
494,202,25900,134700,1959,223,223,"Block Group 3, Census Tract 211.01, Alamance County, North Carolina",1500000US370010211013,37,001,021101,3
983,406,16216,145600,1991,406,406,"Block Group 1, Census Tract 211.02, Alamance County, North Carolina",1500000US370010211021,37,001,021102,1
1044,499,39271,169600,1981,513,513,"Block Group 3, Census Tract 211.02, Alamance County, North Carolina",1500000US370010211023,37,001,021102,3
897,428,45357,149600,1991,496,496,"Block Group 3, Census Tract 212.04, Alamance County, North Carolina",1500000US370010212043,37,001,021204,3
1644,679,50825,213300,1986,721,721,"Block Group 2, Census Tract 212.05, Alamance County, North Carolina",1500000US370010212052,37,001,021205,2
3948,1570,41399,192300,2002,1671,1671,"Block Group 3, Census Tract 212.05, Alamance County, North Carolina",1500000US370010212053,37,001,021205,3
2510,905,62036,183400,2001,989,989,"Block Group 2, Census Tract 212.06, Alamance County, North Carolina",1500000US370010212062,37,001,021206,2
1404,597,36639,181500,1968,754,754,"Block Group 3, Census Tract 212.06, Alamance County, North Carolina",1500000US370010212063,37,001,021206,3
1686,632,49583,153400,1969,715,715,"Block Group 2, Census Tract 212.07, Alamance County, North Carolina",1500000US370010212072,37,001,021207,2
1523,542,102500,265000,1997,564,564,"Block Group 4, Census Tract 213, Alamance County, North Carolina",1500000US370010213004,37,001,021300,4
1458,564,46000,148000,1981,588,588,"Block Group 4, Census Tract 215, Alamance County, North Carolina",1500000US370010215004,37,001,021500,4
1342,574,98929,272000,1994,622,622,"Block Group 1, Census Tract 217.01, Alamance County, North Carolina",1500000US370010217011,37,001,021701,1
1501,561,41563,86900,1958,668,668,"Block Group 3, Census Tract 203, Alamance County, North Carolina",1500000US370010203003,37,001,020300,3
1534,556,48641,96300,1966,608,608,"Block Group 4, Census Tract 203, Alamance County, North Carolina",1500000US370010203004,37,001,020300,4
2441,933,35417,78200,1975,1007,1007,"Block Group 1, Census Tract 212.01, Alamance County, North Carolina",1500000US370010212011,37,001,021201,1
1260,470,29052,67400,1953,624,624,"Block Group 4, Census Tract 202, Alamance County, North Carolina",1500000US370010202004,37,001,020200,4
1484,550,52500,158000,1992,649,649,"Block Group 1, Census Tract 213, Alamance County, North Carolina",1500000US370010213001,37,001,021300,1
958,437,42417,114000,1980,480,480,"Block Group 1, Census Tract 216, Alamance County, North Carolina",1500000US370010216001,37,001,021600,1
926,332,46439,156300,1994,356,356,"Block Group 3, Census Tract 215, Alamance County, North Carolina",1500000US370010215003,37,001,021500,3
781,321,26613,-666666666,1957,350,350,"Block Group 3, Census Tract 204, Alamance County, North Carolina",1500000US370010204003,37,001,020400,3
619,195,29188,-666666666,1961,299,299,"Block Group 4, Census Tract 204, Alamance County, North Carolina",1500000US370010204004,37,001,020400,4
1318,536,110921,216100,1994,553,553,"Block Group 2, Census Tract 217.01, Alamance County, North Carolina",1500000US370010217012,37,001,021701,2
2057,768,53788,172800,1990,848,848,"Block Group 3, Census Tract 217.02, Alamance County, North Carolina",1500000US370010217023,37,001,021702,3
2179,935,68750,198600,1970,1018,1018,"Block Group 1, Census Tract 218.01, Alamance County, North Carolina",1500000US370010218011,37,001,021801,1
1979,802,45750,113900,1995,833,833,"Block Group 1, Census Tract 218.02, Alamance County, North Carolina",1500000US370010218021,37,001,021802,1
837,337,42044,143200,1970,430,430,"Block Group 3, Census Tract 207.01, Alamance County, North Carolina",1500000US370010207013,37,001,020701,3
1121,646,37927,119900,1981,774,774,"Block Group 3, Census Tract 207.02, Alamance County, North Carolina",1500000US370010207023,37,001,020702,3
782,409,46131,146000,1983,486,486,"Block Group 2, Census Tract 208.01, Alamance County, North Carolina",1500000US370010208012,37,001,020801,2
1508,485,23977,109700,1989,536,536,"Block Group 3, Census Tract 208.02, Alamance County, North Carolina",1500000US370010208023,37,001,020802,3
1155,518,34167,89000,1964,571,571,"Block Group 6, Census Tract 208.02, Alamance County, North Carolina",1500000US370010208026,37,001,020802,6
1677,537,54861,165200,1993,570,570,"Block Group 3, Census Tract 209.01, Alamance County, North Carolina",1500000US370010209013,37,001,020901,3
342,168,37500,89500,1964,289,289,"Block Group 1, Census Tract 211.01, Alamance County, North Carolina",1500000US370010211011,37,001,021101,1
1409,529,48839,155300,1987,557,557,"Block Group 2, Census Tract 211.02, Alamance County, North Carolina",1500000US370010211022,37,001,021102,2
586,300,88875,200700,1992,361,361,"Block Group 1, Census Tract 212.05, Alamance County, North Carolina",1500000US370010212051,37,001,021205,1
1183,433,58266,166000,1993,461,461,"Block Group 1, Census Tract 212.06, Alamance County, North Carolina",1500000US370010212061,37,001,021206,1
1908,718,57012,149200,1976,801,801,"Block Group 1, Census Tract 212.07, Alamance County, North Carolina",1500000US370010212071,37,001,021207,1
844,405,41193,147700,1987,443,443,"Block Group 5, Census Tract 213, Alamance County, North Carolina",1500000US370010213005,37,001,021300,5
2031,687,47526,127200,1986,782,782,"Block Group 2, Census Tract 403, Alexander County, North Carolina",1500000US370030403002,37,003,040300,2
460,200,32386,126500,1980,335,335,"Block Group 2, Census Tract 401, Alexander County, North Carolina",1500000US370030401002,37,003,040100,2
1004,404,52603,98700,1981,497,497,"Block Group 1, Census Tract 401, Alexander County, North Carolina",1500000US370030401001,37,003,040100,1
541,271,-666666666,134100,1984,346,346,"Block Group 2, Census Tract 402, Alexander County, North Carolina",1500000US370030402002,37,003,040200,2
2165,842,42389,141400,1987,978,978,"Block Group 3, Census Tract 402, Alexander County, North Carolina",1500000US370030402003,37,003,040200,3
1049,442,35234,114000,1985,479,479,"Block Group 1, Census Tract 407, Alexander County, North Carolina",1500000US370030407001,37,003,040700,1
2033,589,64776,171900,1982,725,725,"Block Group 2, Census Tract 407, Alexander County, North Carolina",1500000US370030407002,37,003,040700,2
1543,731,61016,217800,1986,833,833,"Block Group 3, Census Tract 407, Alexander County, North Carolina",1500000US370030407003,37,003,040700,3
1042,407,27535,110300,1981,522,522,"Block Group 2, Census Tract 405, Alexander County, North Carolina",1500000US370030405002,37,003,040500,2
3054,1043,47596,127300,1988,1164,1164,"Block Group 4, Census Tract 405, Alexander County, North Carolina",1500000US370030405004,37,003,040500,4
3262,770,42310,104700,1990,915,915,"Block Group 1, Census Tract 406, Alexander County, North Carolina",1500000US370030406001,37,003,040600,1
1311,545,44519,131100,1988,590,590,"Block Group 2, Census Tract 406, Alexander County, North Carolina",1500000US370030406002,37,003,040600,2
1569,685,74875,214000,1993,866,866,"Block Group 3, Census Tract 406, Alexander County, North Carolina",1500000US370030406003,37,003,040600,3
1576,491,44375,116500,1974,632,632,"Block Group 4, Census Tract 404, Alexander County, North Carolina",1500000US370030404004,37,003,040400,4
1740,673,39222,108600,1982,757,757,"Block Group 1, Census Tract 404, Alexander County, North Carolina",1500000US370030404001,37,003,040400,1
1287,551,24596,89700,1984,653,653,"Block Group 2, Census Tract 404, Alexander County, North Carolina",1500000US370030404002,37,003,040400,2
1121,383,29297,128500,1989,449,449,"Block Group 5, Census Tract 404, Alexander County, North Carolina",1500000US370030404005,37,003,040400,5
967,383,48125,177400,1992,467,467,"Block Group 3, Census Tract 404, Alexander County, North Carolina",1500000US370030404003,37,003,040400,3
1018,483,34351,112200,1984,620,620,"Block Group 1, Census Tract 403, Alexander County, North Carolina",1500000US370030403001,37,003,040300,1
1627,620,56339,107300,1987,767,767,"Block Group 3, Census Tract 401, Alexander County, North Carolina",1500000US370030401003,37,003,040100,3
1246,469,52532,117600,1968,552,552,"Block Group 1, Census Tract 402, Alexander County, North Carolina",1500000US370030402001,37,003,040200,1
1990,856,78654,210500,1987,996,996,"Block Group 4, Census Tract 407, Alexander County, North Carolina",1500000US370030407004,37,003,040700,4
1493,535,33047,111600,1986,646,646,"Block Group 3, Census Tract 405, Alexander County, North Carolina",1500000US370030405003,37,003,040500,3
1990,662,35549,78500,1968,828,828,"Block Group 1, Census Tract 405, Alexander County, North Carolina",1500000US370030405001,37,003,040500,1
1083,513,36597,115700,1979,815,815,"Block Group 2, Census Tract 9503, Alleghany County, North Carolina",1500000US370059503002,37,005,950300,2
811,385,35551,96300,1984,895,895,"Block Group 3, Census Tract 9503, Alleghany County, North Carolina",1500000US370059503003,37,005,950300,3
905,315,30917,85200,1975,406,406,"Block Group 4, Census Tract 9502, Alleghany County, North Carolina",1500000US370059502004,37,005,950200,4
1099,483,30938,111800,1972,611,611,"Block Group 3, Census Tract 9502, Alleghany County, North Carolina",1500000US370059502003,37,005,950200,3
1028,409,33036,202900,1984,537,537,"Block Group 2, Census Tract 9502, Alleghany County, North Carolina",1500000US370059502002,37,005,950200,2
888,323,52708,148100,1983,1180,1180,"Block Group 4, Census Tract 9501, Alleghany County, North Carolina",1500000US370059501004,37,005,950100,4
1005,478,47019,141700,1980,766,766,"Block Group 2, Census Tract 9501, Alleghany County, North Carolina",1500000US370059501002,37,005,950100,2
1043,461,39552,169100,1984,811,811,"Block Group 1, Census Tract 9503, Alleghany County, North Carolina",1500000US370059503001,37,005,950300,1
1043,441,26473,145300,1977,668,668,"Block Group 1, Census Tract 9502, Alleghany County, North Carolina",1500000US370059502001,37,005,950200,1
967,480,39773,78800,1982,810,810,"Block Group 3, Census Tract 9501, Alleghany County, North Carolina",1500000US370059501003,37,005,950100,3
1101,458,28750,114900,1983,661,661,"Block Group 1, Census Tract 9501, Alleghany County, North Carolina",1500000US370059501001,37,005,950100,1
548,296,30172,120500,1978,337,337,"Block Group 1, Census Tract 9201, Anson County, North Carolina",1500000US370079201001,37,007,920100,1
1117,463,55352,78900,1981,624,624,"Block Group 2, Census Tract 9201, Anson County, North Carolina",1500000US370079201002,37,007,920100,2
1084,461,45655,76700,1971,532,532,"Block Group 3, Census Tract 9201, Anson County, North Carolina",1500000US370079201003,37,007,920100,3
1867,720,36563,77100,1981,872,872,"Block Group 1, Census Tract 9202, Anson County, North Carolina",1500000US370079202001,37,007,920200,1
2498,925,35545,105200,1980,1036,1036,"Block Group 2, Census Tract 9203, Anson County, North Carolina",1500000US370079203002,37,007,920300,2
2084,732,49323,147500,1977,889,889,"Block Group 3, Census Tract 9203, Anson County, North Carolina",1500000US370079203003,37,007,920300,3
966,377,35634,103400,1977,462,462,"Block Group 1, Census Tract 9204, Anson County, North Carolina",1500000US370079204001,37,007,920400,1
1133,413,40950,92100,1978,456,456,"Block Group 2, Census Tract 9204, Anson County, North Carolina",1500000US370079204002,37,007,920400,2
1073,464,34255,59900,1987,501,501,"Block Group 1, Census Tract 9205, Anson County, North Carolina",1500000US370079205001,37,007,920500,1
575,237,20950,-666666666,1972,375,375,"Block Group 2, Census Tract 9205, Anson County, North Carolina",1500000US370079205002,37,007,920500,2
1240,504,39470,102000,1969,565,565,"Block Group 4, Census Tract 9205, Anson County, North Carolina",1500000US370079205004,37,007,920500,4
1609,664,43750,111600,1965,876,876,"Block Group 5, Census Tract 9205, Anson County, North Carolina",1500000US370079205005,37,007,920500,5
937,440,36842,62800,1980,508,508,"Block Group 2, Census Tract 9206, Anson County, North Carolina",1500000US370079206002,37,007,920600,2
1450,707,27429,57900,1983,934,934,"Block Group 3, Census Tract 9206, Anson County, North Carolina",1500000US370079206003,37,007,920600,3
842,433,45625,72100,1987,619,619,"Block Group 1, Census Tract 9203, Anson County, North Carolina",1500000US370079203001,37,007,920300,1
2135,239,58942,135200,1980,280,280,"Block Group 4, Census Tract 9203, Anson County, North Carolina",1500000US370079203004,37,007,920300,4
1305,438,25625,81300,1961,519,519,"Block Group 3, Census Tract 9204, Anson County, North Carolina",1500000US370079204003,37,007,920400,3
1304,402,74024,92000,1974,441,441,"Block Group 3, Census Tract 9205, Anson County, North Carolina",1500000US370079205003,37,007,920500,3
1539,601,41964,126900,1990,768,768,"Block Group 1, Census Tract 9206, Anson County, North Carolina",1500000US370079206001,37,007,920600,1
1143,451,50653,140500,1983,639,639,"Block Group 3, Census Tract 9702, Ashe County, North Carolina",1500000US370099702003,37,009,970200,3
991,460,31875,122700,1984,740,740,"Block Group 2, Census Tract 9703, Ashe County, North Carolina",1500000US370099703002,37,009,970300,2
1555,681,40288,128500,1982,820,820,"Block Group 1, Census Tract 9703, Ashe County, North Carolina",1500000US370099703001,37,009,970300,1
1169,465,38977,95800,1984,616,616,"Block Group 1, Census Tract 9704, Ashe County, North Carolina",1500000US370099704001,37,009,970400,1
1317,685,40446,118600,1987,792,792,"Block Group 4, Census Tract 9704, Ashe County, North Carolina",1500000US370099704004,37,009,970400,4
1281,526,55313,169500,1976,694,694,"Block Group 2, Census Tract 9704, Ashe County, North Carolina",1500000US370099704002,37,009,970400,2
998,381,38750,200000,1978,456,456,"Block Group 3, Census Tract 9704, Ashe County, North Carolina",1500000US370099704003,37,009,970400,3
1033,458,32959,115200,1975,542,542,"Block Group 1, Census Tract 9705, Ashe County, North Carolina",1500000US370099705001,37,009,970500,1
699,404,27283,98600,1978,559,559,"Block Group 2, Census Tract 9705, Ashe County, North Carolina",1500000US370099705002,37,009,970500,2
1031,405,30707,194300,1977,476,476,"Block Group 3, Census Tract 9705, Ashe County, North Carolina",1500000US370099705003,37,009,970500,3
2000,836,61288,205400,1987,1482,1482,"Block Group 2, Census Tract 9707, Ashe County, North Carolina",1500000US370099707002,37,009,970700,2
1026,513,53496,174300,1992,1061,1061,"Block Group 1, Census Tract 9707, Ashe County, North Carolina",1500000US370099707001,37,009,970700,1
425,193,-666666666,188300,1973,432,432,"Block Group 4, Census Tract 9707, Ashe County, North Carolina",1500000US370099707004,37,009,970700,4
895,464,34028,115900,1975,655,655,"Block Group 1, Census Tract 9702, Ashe County, North Carolina",1500000US370099702001,37,009,970200,1
1190,581,39604,205000,1985,907,907,"Block Group 1, Census Tract 9708, Ashe County, North Carolina",1500000US370099708001,37,009,970800,1
1624,735,37841,125700,1987,1187,1187,"Block Group 2, Census Tract 9708, Ashe County, North Carolina",1500000US370099708002,37,009,970800,2
841,309,35795,120800,1971,393,393,"Block Group 2, Census Tract 9702, Ashe County, North Carolina",1500000US370099702002,37,009,970200,2
2012,899,29984,144700,1982,1344,1344,"Block Group 4, Census Tract 9705, Ashe County, North Carolina",1500000US370099705004,37,009,970500,4
1250,527,49943,227400,1990,840,840,"Block Group 5, Census Tract 9705, Ashe County, North Carolina",1500000US370099705005,37,009,970500,5
1240,517,60612,180900,1994,917,917,"Block Group 3, Census Tract 9707, Ashe County, North Carolina",1500000US370099707003,37,009,970700,3
758,327,65536,-666666666,1992,466,466,"Block Group 5, Census Tract 9707, Ashe County, North Carolina",1500000US370099707005,37,009,970700,5
2308,988,41900,134000,1992,1631,1631,"Block Group 3, Census Tract 9708, Ashe County, North Carolina",1500000US370099708003,37,009,970800,3
1578,743,48810,246400,1986,1609,1609,"Block Group 1, Census Tract 9301, Avery County, North Carolina",1500000US370119301001,37,011,930100,1
1373,291,57212,180200,1983,781,781,"Block Group 2, Census Tract 9301, Avery County, North Carolina",1500000US370119301002,37,011,930100,2
929,381,68894,314700,1985,2825,2825,"Block Group 1, Census Tract 9302, Avery County, North Carolina",1500000US370119302001,37,011,930200,1
268,158,45286,63400,1989,689,689,"Block Group 2, Census Tract 9302, Avery County, North Carolina",1500000US370119302002,37,011,930200,2
553,352,20313,144700,1979,393,393,"Block Group 3, Census Tract 9303.01, Avery County, North Carolina",1500000US370119303013,37,011,930301,3
827,468,28400,163000,1985,1836,1836,"Block Group 3, Census Tract 9302, Avery County, North Carolina",1500000US370119302003,37,011,930200,3
1087,524,30000,97100,1981,899,899,"Block Group 1, Census Tract 9303.01, Avery County, North Carolina",1500000US370119303011,37,011,930301,1
923,414,25833,132700,1979,594,594,"Block Group 2, Census Tract 9303.01, Avery County, North Carolina",1500000US370119303012,37,011,930301,2
1004,425,58750,234800,1978,661,661,"Block Group 4, Census Tract 9303.01, Avery County, North Carolina",1500000US370119303014,37,011,930301,4
560,247,29408,98400,1971,310,310,"Block Group 1, Census Tract 9303.02, Avery County, North Carolina",1500000US370119303021,37,011,930302,1
1051,497,33867,74700,1983,632,632,"Block Group 2, Census Tract 9303.02, Avery County, North Carolina",1500000US370119303022,37,011,930302,2
1200,479,31875,92300,1982,672,672,"Block Group 3, Census Tract 9303.02, Avery County, North Carolina",1500000US370119303023,37,011,930302,3
3625,559,39922,168500,1981,684,684,"Block Group 1, Census Tract 9304, Avery County, North Carolina",1500000US370119304001,37,011,930400,1
895,355,45069,127200,1973,574,574,"Block Group 2, Census Tract 9304, Avery County, North Carolina",1500000US370119304002,37,011,930400,2
1064,457,40022,157300,1994,591,591,"Block Group 3, Census Tract 9304, Avery County, North Carolina",1500000US370119304003,37,011,930400,3
564,237,-666666666,157400,1980,416,416,"Block Group 3, Census Tract 9301, Avery County, North Carolina",1500000US370119301003,37,011,930100,3
2468,836,32267,119800,1992,1055,1055,"Block Group 2, Census Tract 9302, Beaufort County, North Carolina",1500000US370139302002,37,013,930200,2
1833,731,53646,146200,1982,991,991,"Block Group 3, Census Tract 9302, Beaufort County, North Carolina",1500000US370139302003,37,013,930200,3
1770,713,27739,108900,1969,803,803,"Block Group 1, Census Tract 9303, Beaufort County, North Carolina",1500000US370139303001,37,013,930300,1
1196,475,32235,81900,1964,527,527,"Block Group 3, Census Tract 9303, Beaufort County, North Carolina",1500000US370139303003,37,013,930300,3
932,421,22933,182200,1963,496,496,"Block Group 1, Census Tract 9304, Beaufort County, North Carolina",1500000US370139304001,37,013,930400,1
1215,419,33628,66500,1958,495,495,"Block Group 3, Census Tract 9304, Beaufort County, North Carolina",1500000US370139304003,37,013,930400,3
456,213,20268,93200,1961,213,213,"Block Group 4, Census Tract 9304, Beaufort County, North Carolina",1500000US370139304004,37,013,930400,4
